"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2006"	"2006"	"55-59 years"	"55-59"	Suppressed	297745	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"60-64 years "	"60-64"	Suppressed	226567	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"65-69 years"	"65-69"	Suppressed	184594	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"70-74 years"	"70-74"	Suppressed	151454	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"75-79 years"	"75-79"	Suppressed	122066	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"80-84 years"	"80-84"	Suppressed	85688	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2006"	"2006"			124	4628981	2.679
	"Alabama"	"01"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	62907	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	237393	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"5-9 years"	"5-9"	Suppressed	306013	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"10-14 years"	"10-14"	Suppressed	320407	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"15-19 years"	"15-19"	11	341279	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"20-24 years"	"20-24"	22	327293	6.722
	"Alabama"	"01"	"2007"	"2007"	"25-29 years"	"25-29"	20	307619	6.502
	"Alabama"	"01"	"2007"	"2007"	"30-34 years"	"30-34"	19	286033	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"35-39 years"	"35-39"	19	312470	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"40-44 years"	"40-44"	20	326486	6.126
	"Alabama"	"01"	"2007"	"2007"	"45-49 years"	"45-49"	29	348251	8.327
	"Alabama"	"01"	"2007"	"2007"	"50-54 years"	"50-54"	Suppressed	332544	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"55-59 years"	"55-59"	Suppressed	298032	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"60-64 years "	"60-64"	Suppressed	244043	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"65-69 years"	"65-69"	Suppressed	189797	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"70-74 years"	"70-74"	Suppressed	152814	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"75-79 years"	"75-79"	Suppressed	121729	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"80-84 years"	"80-84"	Suppressed	86812	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2007"	"2007"			165	4672840	3.531
	"Alabama"	"01"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	63816	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	241026	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"5-9 years"	"5-9"	Suppressed	306682	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"10-14 years"	"10-14"	Suppressed	319503	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"15-19 years"	"15-19"	Suppressed	345580	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	12	328751	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"25-29 years"	"25-29"	27	311504	8.668
	"Alabama"	"01"	"2008"	"2008"	"30-34 years"	"30-34"	27	287272	9.399
	"Alabama"	"01"	"2008"	"2008"	"35-39 years"	"35-39"	26	313869	8.284
	"Alabama"	"01"	"2008"	"2008"	"40-44 years"	"40-44"	31	318765	9.725
	"Alabama"	"01"	"2008"	"2008"	"45-49 years"	"45-49"	23	348148	6.606
	"Alabama"	"01"	"2008"	"2008"	"50-54 years"	"50-54"	18	340006	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"55-59 years"	"55-59"	Suppressed	301833	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"60-64 years "	"60-64"	Suppressed	254507	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"65-69 years"	"65-69"	Suppressed	198122	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"70-74 years"	"70-74"	Suppressed	156112	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"75-79 years"	"75-79"	Suppressed	121862	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"80-84 years"	"80-84"	Suppressed	88254	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
