State,State_Code,County,County_Code,Year,Total_Deaths,Total_Population,Total_Age_Adjusted_Rate,Female_Deaths_(Calculated),Male_Deaths_(Calculated),White_Age_Adjusted_Rate,Black_Age_Adjusted_Rate,API_Age_Adjusted_Rate,Native_American_Age_Adjusted_Rate,Heroin_Deaths,Heroin_Age_Adjusted_Rate,Other_Opioids_Deaths,Other_Opioids_Age_Adjusted_Rate,Methadone_Deaths,Methadone_Age_Adjusted_Rate,Other_Synthetic_Narcotics_Deaths,Other_Synthetic_Narcotics_Age_Adjusted_Rate,Other_Unspecified_Narcotics_Deaths,Other_Unspecified_Narcotics_Age_Adjusted_Rate
New Hampshire,33,Cheshire County,33005,2014,14,76115,Unreliable,Suppressed,Suppressed,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Cheshire County,33005,2015,Suppressed,75909,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Cheshire County,33005,2016,18,75774,Unreliable,7,11,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,12,Unreliable,Suppressed,Suppressed
New Hampshire,33,Cheshire County,33005,2017,22,75960,32.642,7,15,33.882,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,21,31.553,Suppressed,Suppressed
New Hampshire,33,Coos County,33007,1999,Suppressed,32998,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Coos County,33007,2000,Suppressed,33111,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Coos County,33007,2001,Suppressed,33113,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Coos County,33007,2002,Suppressed,33234,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Coos County,33007,2003,Suppressed,33462,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Coos County,33007,2004,Suppressed,33589,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
